City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Lasa,IT,46.6166,10.7002,48.33,47,70,1.03,broken clouds
229,Arraial Do Cabo,BR,-22.9661,-42.0278,73.08,90,17,11.65,few clouds
230,Northam,GB,51.0333,-4.2167,58.39,94,0,11.61,clear sky
231,Bima,ID,-8.4667,118.7167,89.49,63,100,1.25,overcast clouds
232,Lerwick,GB,60.1545,-1.1494,51.8,91,98,16.24,overcast clouds
233,Jinxiang,CN,27.4327,120.6062,70.43,87,61,12.33,broken clouds
234,Ambilobe,MG,-13.2,49.05,70.29,87,0,3.53,clear sky
235,Upata,VE,8.0086,-62.3989,71.04,96,100,2.57,overcast clouds
236,Meulaboh,ID,4.1363,96.1285,75.42,92,100,2.1,overcast clouds
237,Toora-Khem,RU,52.4675,96.11,12.96,88,100,3.33,overcast clouds
238,Titay,PH,7.8125,122.5344,84.33,71,95,2.8,overcast clouds
239,Sakaiminato,JP,35.55,133.2333,71.53,83,75,6.91,broken clouds
240,Kutum,SD,14.2,24.6667,60.89,30,0,5.86,clear sky
241,Hasaki,JP,35.7333,140.8333,76.21,67,6,25.41,clear sky
242,Port Macquarie,AU,-31.4333,152.9167,80.89,62,100,14.76,overcast clouds
243,Torres,BR,-29.3353,-49.7269,73.83,93,100,8.03,overcast clouds
244,Mangrol,IN,21.1167,70.1167,75.58,45,0,11.03,clear sky
245,Solnechnyy,RU,50.7214,136.6319,25.84,54,0,3.69,clear sky
246,Hurricane,US,37.1753,-113.2899,51.03,33,3,5.97,clear sky
247,Lac Du Bonnet,CA,50.2536,-96.0612,7.93,96,95,1.83,overcast clouds
248,Santa Fe,AR,-31.6333,-60.7,69.01,90,99,1.01,light rain
249,Zalantun,CN,48.0,122.7167,27.63,50,22,3.29,few clouds
250,Hobyo,SO,5.3505,48.5268,81.19,66,82,15.03,broken clouds
251,Rena,NO,61.1348,11.3641,38.12,92,86,2.82,overcast clouds
252,Mana,GF,5.6592,-53.7767,77.5,88,100,7.31,overcast clouds
253,Ocampo,MX,21.65,-101.5,56.52,38,0,1.36,clear sky
254,Luanda,AO,-8.8368,13.2343,73.4,78,20,3.44,few clouds
255,Cidreira,BR,-30.1811,-50.2056,68.74,88,100,19.75,overcast clouds
256,Kieta,PG,-6.2167,155.6333,83.82,71,92,3.44,light rain
257,Faanui,PF,-16.4833,-151.75,75.07,88,100,15.88,moderate rain
258,Souillac,MU,-20.5167,57.5167,68.38,83,40,3.44,scattered clouds
259,Mersin,TR,36.862,34.6509,63.21,40,0,5.66,clear sky
260,Nyurba,RU,63.2842,118.3319,-4.92,93,33,7.67,scattered clouds
261,Sola,VU,-13.8833,167.55,80.83,75,99,5.21,overcast clouds
262,Siguiri,GN,11.6667,-9.5,73.44,38,0,2.06,clear sky
263,Gazanjyk,TM,39.2446,55.5154,50.76,47,62,7.67,broken clouds
264,Porangatu,BR,-13.4408,-49.1486,70.0,85,83,2.91,broken clouds
265,Nadym,RU,65.5333,72.5167,-7.53,89,32,11.14,scattered clouds
266,Broken Hill,AU,-31.95,141.4333,74.59,44,100,4.09,overcast clouds
267,Laguna,US,38.421,-121.4238,55.53,76,40,1.25,scattered clouds
268,Lokosovo,RU,61.1333,74.8167,19.71,95,100,4.88,overcast clouds
269,Brandon,US,27.9378,-82.2859,72.01,93,0,0.0,clear sky
270,Tiznit,MA,29.5833,-9.5,67.32,25,9,9.53,clear sky
271,Nanortalik,GL,60.1432,-45.2371,29.08,87,100,3.0,light snow
272,Arcachon,FR,44.5875,-1.0519,52.12,100,100,1.14,fog
273,Gurlan,UZ,41.8447,60.3919,33.71,46,100,3.94,overcast clouds
274,Kholodnyy,RU,62.7167,147.95,-17.1,98,90,1.23,overcast clouds
275,Mount Gambier,AU,-37.8333,140.7667,71.51,60,40,18.41,scattered clouds
276,Griffith,US,41.5284,-87.4237,34.11,72,100,13.8,overcast clouds
277,Padang,ID,-0.9492,100.3543,75.56,95,100,1.34,light rain
278,Cam Ranh,VN,11.9214,109.1591,78.76,94,75,5.75,broken clouds
279,Caetite,BR,-14.0694,-42.475,66.54,88,100,3.18,overcast clouds
280,Falavarjan,IR,32.5553,51.5097,38.41,66,19,3.65,few clouds
281,Kathu,TH,7.9178,98.3332,85.75,85,100,7.92,overcast clouds
282,Tabuk,PH,17.4189,121.4443,83.43,73,68,3.85,broken clouds
283,Forbes,AU,-33.3833,148.0167,80.92,51,70,21.61,broken clouds
284,Curup,ID,-3.4667,102.5333,69.75,99,100,2.35,overcast clouds
285,Kota,IN,25.1833,75.8333,68.27,46,6,3.0,clear sky
286,New Norfolk,AU,-42.7826,147.0587,54.91,73,100,2.33,light rain
287,Bereda,ES,43.2686,-7.5406,51.42,100,100,1.99,overcast clouds
288,Kota Bahru,MY,6.1333,102.2386,82.15,94,20,5.01,few clouds
289,Sur,OM,22.5667,59.5289,77.31,47,0,7.54,clear sky
290,Touros,BR,-5.1989,-35.4608,78.06,82,6,9.82,clear sky
291,Lovozero,RU,68.005,35.0117,30.63,93,100,15.52,overcast clouds
292,Fasa,IR,28.9383,53.6482,56.44,72,75,0.0,broken clouds
293,Juegang,CN,32.3174,121.1855,59.92,67,100,15.97,overcast clouds
294,Kirs,RU,59.3388,52.2447,38.39,97,100,8.52,overcast clouds
295,Zhanaozen,KZ,43.3,52.8,44.01,93,98,13.6,overcast clouds
296,Kinkala,CG,-4.3614,14.7644,68.05,97,100,3.06,light rain
297,Sabang,ID,5.8933,95.3214,79.47,83,100,16.69,moderate rain
298,Payo,ID,-3.7508,103.6372,78.24,87,100,0.22,overcast clouds
299,Burnie,AU,-41.0667,145.9167,54.95,94,100,17.11,overcast clouds
300,Stranda,NO,62.3096,6.9358,47.35,94,99,4.65,overcast clouds
301,Kavieng,PG,-2.5744,150.7967,83.97,75,100,10.27,light rain
302,Okhotsk,RU,59.3833,143.3,5.83,68,8,13.71,clear sky
303,Inirida,CO,3.8653,-67.9239,74.62,95,100,3.04,overcast clouds
304,Lexington,US,37.9887,-84.4777,32.34,82,100,10.36,overcast clouds
305,Aswan,EG,24.0934,32.907,67.3,39,0,5.75,clear sky
306,Lompoc,US,34.6391,-120.4579,54.52,82,1,3.0,clear sky
307,Usogorsk,RU,63.4106,48.6872,33.17,99,100,3.8,light snow
308,Airai,TL,-8.9266,125.4092,75.27,60,97,2.57,overcast clouds
309,Alta Floresta,BR,-9.8756,-56.0861,73.9,72,18,3.22,few clouds
310,Coquimbo,CL,-29.9533,-71.3436,58.73,94,20,6.91,few clouds
311,Jiazi,CN,22.8779,116.067,78.35,74,0,7.56,clear sky
312,Roald,NO,62.5833,6.1333,53.76,93,100,4.61,overcast clouds
313,Hoi An,VN,15.8794,108.335,82.36,79,83,4.03,broken clouds
314,Gizo,SB,-8.103,156.8419,84.02,71,100,8.28,overcast clouds
315,Chumikan,RU,54.7183,135.315,17.1,75,5,20.11,clear sky
316,Riohacha,CO,11.5444,-72.9072,77.2,89,100,6.71,overcast clouds
317,Chernyshevskiy,RU,63.0128,112.4714,-16.26,98,10,2.98,clear sky
318,Zabol,AF,32.25,67.25,46.78,59,68,10.16,broken clouds
319,Coahuayana,MX,18.7333,-103.6833,73.18,91,1,0.83,clear sky
320,Yulara,AU,-25.2406,130.9889,81.19,18,0,10.98,clear sky
321,Mahibadhoo,MV,3.7833,72.9667,81.21,78,100,15.03,overcast clouds
322,Kurilsk,RU,45.2333,147.8833,43.86,93,100,14.56,light rain
323,Harper,LR,4.375,-7.7169,77.32,88,54,5.53,broken clouds
324,Cabo San Lucas,MX,22.8909,-109.9124,76.6,66,52,5.01,broken clouds
325,Asau,RO,46.4333,26.4,31.12,70,17,4.34,few clouds
326,Salinas,US,36.6777,-121.6555,55.29,72,6,3.87,clear sky
327,Churapcha,RU,62.0025,132.4325,13.96,95,100,11.77,light snow
328,Casper,US,42.8666,-106.3131,29.62,50,100,7.63,overcast clouds
329,Klaksvik,FO,62.2266,-6.589,50.92,97,100,22.24,light rain
330,Blackpool,GB,53.8167,-3.05,55.35,87,55,16.6,broken clouds
331,Qaqortoq,GL,60.7167,-46.0333,20.64,78,100,3.38,overcast clouds
332,Vilyuysk,RU,63.7553,121.6247,-3.06,93,96,11.12,overcast clouds
333,Yaan,NG,7.3833,8.5667,73.45,85,48,4.32,scattered clouds
334,Mwinilunga,ZM,-11.7358,24.4293,59.81,97,100,2.73,overcast clouds
335,Tecoanapa,MX,16.5167,-98.75,80.78,77,99,0.85,overcast clouds
336,Bouca,CF,6.5105,18.2733,69.53,82,100,1.25,overcast clouds
337,Gurgaon,IN,28.4667,77.0333,60.84,67,0,0.0,smoke
338,Belle Fourche,US,44.6714,-103.8522,29.5,57,81,3.27,broken clouds
339,Norman Wells,CA,65.282,-126.8329,16.79,92,100,3.06,overcast clouds
340,Palembang,ID,-2.9167,104.7458,77.09,100,75,2.3,broken clouds
341,Sovetskiy,RU,61.3614,63.5842,9.07,93,96,7.18,overcast clouds
342,Srednekolymsk,RU,67.45,153.6833,-22.14,97,72,6.53,broken clouds
343,Gunjur,GM,13.2019,-16.7339,79.38,65,99,10.29,overcast clouds
344,Sao Caetano De Odivelas,BR,-0.75,-48.02,77.22,86,8,7.45,clear sky
345,Siverek,TR,37.755,39.3167,50.76,52,0,4.56,clear sky
346,Keelung,TW,25.1283,121.7419,85.05,83,23,7.85,few clouds
347,Lavrentiya,RU,65.5833,-171.0,15.6,81,8,11.81,clear sky
348,Boundiali,CI,9.5217,-6.4869,73.0,78,6,3.89,light rain
349,Sinnamary,GF,5.3833,-52.95,78.06,87,100,8.25,light rain
350,Mamburao,PH,13.25,120.6667,86.97,61,27,0.4,scattered clouds
351,Te Anau,NZ,-45.4167,167.7167,47.89,93,100,0.45,overcast clouds
352,Taraz,KZ,42.9,71.3667,25.21,93,0,0.0,mist
353,Boyolangu,ID,-8.1181,111.8935,79.65,85,100,4.36,overcast clouds
354,Yuanping,CN,38.7153,112.7575,37.58,33,12,1.72,few clouds
355,Kortkeros,RU,61.8106,51.5806,37.4,100,100,1.63,overcast clouds
356,Gornyak,RU,50.9942,81.4661,33.57,98,100,18.68,light snow
357,Surin,TH,14.8818,103.4936,80.53,68,48,5.82,scattered clouds
358,Waspan,NI,14.7419,-83.9717,74.35,96,12,3.2,few clouds
359,Xining,CN,36.6167,101.7667,31.05,71,99,1.66,overcast clouds
360,Tadine,NC,-21.55,167.8833,76.51,84,83,21.14,broken clouds
361,Constitucion,CL,-35.3333,-72.4167,52.39,93,13,7.99,few clouds
362,La Roche-Sur-Yon,FR,46.6667,-1.4333,57.47,82,0,5.75,clear sky
363,Tulun,RU,54.5611,100.5792,18.77,81,20,4.59,few clouds
364,Grindavik,IS,63.8424,-22.4338,41.9,81,75,17.27,broken clouds
365,Ugoofaaru,MV,5.6667,73.0,81.28,76,100,10.16,overcast clouds
366,Cabedelo,BR,-6.9811,-34.8339,77.76,82,0,8.19,clear sky
367,Bathsheba,BB,13.2167,-59.5167,79.72,80,68,10.11,broken clouds
368,Ostrovnoy,RU,68.0531,39.5131,33.75,72,100,27.25,overcast clouds
369,Vagur,FO,61.4732,-6.8119,49.06,97,100,14.99,light rain
370,Puerto Madero,MX,14.7208,-92.4215,79.52,77,22,2.91,few clouds
371,Svetlaya,RU,46.5389,138.3297,32.54,95,100,23.29,snow
372,Aklavik,CA,68.2191,-135.0107,8.62,95,96,2.13,overcast clouds
373,Beloha,MG,-25.1667,45.05,72.07,78,86,16.6,overcast clouds
374,Butembo,CD,0.15,29.2833,55.62,98,100,2.35,overcast clouds
375,Sambava,MG,-14.2667,50.1667,70.95,88,10,9.48,clear sky
376,Harnosand,SE,62.6323,17.9379,46.0,71,99,14.47,overcast clouds
377,Shimoda,JP,34.6667,138.95,73.11,70,88,15.41,overcast clouds
378,Bandarbeyla,SO,9.4942,50.8122,77.32,78,6,15.17,clear sky
379,Ternate,ID,0.8,127.4,85.08,69,56,1.48,broken clouds
380,Pangnirtung,CA,66.1451,-65.7125,-4.5,83,9,6.2,clear sky
381,Kirkwall,GB,58.9848,-2.9587,51.85,87,100,8.05,overcast clouds
382,Papara,BR,-3.9839,-38.7273,79.2,85,88,3.4,overcast clouds
383,Kupang,ID,-10.1667,123.5833,86.77,66,96,6.62,overcast clouds
384,Vardo,NO,70.3705,31.1107,39.18,60,100,11.5,overcast clouds
385,Koumac,NC,-20.5667,164.2833,77.45,75,84,18.03,broken clouds
386,Akdepe,TM,42.0551,59.3788,38.55,47,42,6.22,scattered clouds
387,Moroni,KM,-11.7022,43.2551,75.27,79,0,2.26,clear sky
388,Fayaoue,NC,-20.65,166.5333,77.34,82,67,25.46,broken clouds
389,Axim,GH,4.8699,-2.2405,76.75,87,21,3.42,few clouds
390,Husavik,IS,66.0449,-17.3389,35.04,75,53,10.85,broken clouds
391,Sault Sainte Marie,CA,46.5168,-84.3333,28.69,69,100,9.22,overcast clouds
392,Saint-Joseph,RE,-21.3667,55.6167,76.48,71,0,4.12,clear sky
393,Taber,CA,49.8167,-112.1518,7.18,96,100,4.14,overcast clouds
394,Havoysund,NO,70.9963,24.6622,37.63,62,100,5.66,overcast clouds
395,Kenora,CA,49.8167,-94.4337,8.22,97,60,3.98,broken clouds
396,Manokwari,ID,-0.8667,134.0833,83.61,70,98,6.11,overcast clouds
397,Saint-Leu,RE,-21.15,55.2833,76.96,100,1,6.69,clear sky
398,Soe,ID,-9.8607,124.284,82.71,56,98,4.45,overcast clouds
399,Grand-Bourg,GP,15.8835,-61.3148,76.95,78,17,12.48,few clouds
400,Sergeyevka,KZ,53.88,67.4158,33.84,97,100,19.66,light snow
401,Yar-Sale,RU,66.8333,70.8333,-3.5,98,95,10.6,overcast clouds
402,Tautira,PF,-17.7333,-149.15,74.32,84,100,6.38,light rain
403,Bireun,ID,5.203,96.7009,75.06,96,100,1.34,overcast clouds
404,Banda Aceh,ID,5.5577,95.3222,78.15,86,100,10.49,moderate rain
405,Tiarei,PF,-17.5333,-149.3333,77.02,85,100,10.18,light rain
406,Oistins,BB,13.0667,-59.5333,79.92,78,49,10.76,scattered clouds
407,Trapani,IT,37.8333,12.6667,59.88,67,100,2.19,overcast clouds
408,Marrakesh,MA,31.6315,-8.0083,60.87,44,0,2.3,clear sky
409,Telford,GB,52.6766,-2.4493,54.52,94,75,6.91,mist
410,Yokaichiba,JP,35.7,140.55,76.14,73,75,11.5,broken clouds
411,Batsfjord,NO,70.6345,29.7185,33.58,69,40,2.3,light snow
412,Isangel,VU,-19.55,169.2667,78.24,79,100,14.67,overcast clouds
413,Namatanai,PG,-3.6667,152.4333,84.65,71,98,8.84,light rain
414,Luderitz,NA,-26.6481,15.1594,56.93,85,0,9.53,clear sky
415,Tshela,CD,-4.9833,12.9333,69.31,98,70,0.45,broken clouds
416,Kouango,CF,4.9934,19.9619,70.77,92,97,1.54,overcast clouds
417,Korla,CN,41.7597,86.1469,35.42,48,1,3.42,clear sky
418,West Wendover,US,40.7391,-114.0733,31.19,57,100,2.77,overcast clouds
419,Vavozh,RU,56.7751,51.931,40.86,92,100,16.67,moderate rain
420,Doha,QA,25.2867,51.5333,80.58,69,0,5.75,clear sky
421,Abu Samrah,SY,35.3029,37.1841,58.91,54,5,6.42,clear sky
422,Makakilo City,US,21.3469,-158.0858,78.44,67,100,9.22,overcast clouds
423,Hamilton,US,39.1834,-84.5333,33.6,89,100,4.0,snow
424,Poum,NC,-20.2333,164.0167,76.32,80,80,23.76,broken clouds
425,Chemal,RU,51.4111,86.005,35.83,64,100,9.28,overcast clouds
426,Bukama,CD,-9.2,25.85,66.81,98,76,2.37,light rain
427,Pimentel,PE,-6.8367,-79.9342,63.03,83,76,12.5,broken clouds
428,Port Hedland,AU,-20.3167,118.5667,84.25,58,1,14.97,clear sky
429,Gisors,FR,49.2818,1.7801,49.28,83,54,5.26,broken clouds
430,Inongo,CD,-1.95,18.2667,71.15,89,80,2.17,broken clouds
431,Tomatlan,MX,19.9333,-105.25,70.29,93,0,1.48,clear sky
432,Babstovo,RU,48.1167,132.4833,26.22,62,9,6.29,clear sky
433,Havelock,US,34.8791,-76.9013,68.95,90,0,4.0,clear sky
434,Kidal,ML,18.4411,1.4078,74.03,18,98,11.9,overcast clouds
435,Vallenar,CL,-28.5708,-70.7581,57.92,72,99,2.24,overcast clouds
436,Rexburg,US,43.826,-111.7897,28.38,64,0,0.0,clear sky
437,Benjamin Constant,BR,-4.3831,-70.0311,76.91,79,100,1.95,overcast clouds
438,Beyneu,KZ,45.3167,55.2,39.36,70,71,14.79,broken clouds
439,Shakawe,BW,-18.3667,21.85,67.89,86,100,4.54,overcast clouds
440,Arequipa,PE,-16.3989,-71.535,57.27,44,0,3.44,clear sky
441,Beira,MZ,-19.8436,34.8389,75.25,89,82,5.35,broken clouds
442,Merke,KZ,42.8728,73.1786,36.27,49,2,5.97,clear sky
443,Oblivskaya,RU,48.5362,42.5014,45.68,83,100,20.69,overcast clouds
444,Dingle,PH,10.9995,122.6711,84.78,76,52,11.56,light rain
445,Popondetta,PG,-8.7537,148.2534,89.69,58,90,5.23,light rain
446,Balabac,PH,7.9868,117.0645,83.55,76,100,8.86,moderate rain
447,Qasigiannguit,GL,68.8193,-51.1922,35.85,68,99,8.63,overcast clouds
448,Phalombe,MW,-15.8064,35.6507,68.76,73,16,2.13,few clouds
449,Araouane,ML,18.9048,-3.5265,75.9,16,93,9.51,overcast clouds
450,Vila,PT,42.0304,-8.1588,49.08,93,87,4.9,overcast clouds
451,Coihaique,CL,-45.5752,-72.0662,47.98,98,87,4.74,overcast clouds
452,Traverse City,US,44.7631,-85.6206,31.33,93,100,12.62,light snow
453,Damietta,EG,31.4165,31.8133,72.75,64,0,11.34,clear sky
454,Pavino,RU,59.1139,46.1414,38.68,96,100,13.82,overcast clouds
455,Ulverstone,AU,-41.15,146.1667,55.22,93,100,14.5,overcast clouds
456,Petrozavodsk,RU,61.7849,34.3469,38.03,89,100,15.66,overcast clouds
457,Riyadh,SA,24.6877,46.7219,66.34,37,0,6.51,clear sky
458,Abu Dhabi,AE,24.4667,54.3667,77.97,93,100,5.75,fog
459,Pacifica,US,37.6138,-122.4869,55.6,79,20,19.57,few clouds
